"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"7:12:28.0892913 PM","Explorer.EXE","4184","QueryBasicInformationFile","C:\Users\12220186\Downloads\ProcessMonitor\Procmon64.exe","SUCCESS","CreationTime: 6/20/2024 9:55:26 PM, LastAccessTime: 3/9/2026 7:12:28 PM, LastWriteTime: 3/9/2026 6:03:22 PM, ChangeTime: 3/9/2026 7:12:25 PM, FileAttributes: A"
"7:12:28.0893016 PM","Explorer.EXE","4184","CloseFile","C:\Users\12220186\Downloads\ProcessMonitor\Procmon64.exe","SUCCESS",""
"7:12:28.0893046 PM","ctfmon.exe","3980","RegQueryKey","HKLM\SOFTWARE\Microsoft\Input\Settings","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0893119 PM","ctfmon.exe","3980","RegOpenKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409\im_1","SUCCESS","Desired Access: Query Value"
"7:12:28.0893175 PM","Explorer.EXE","4184","IRP_MJ_CLOSE","C:\Users\12220186\Downloads\ProcessMonitor\Procmon64.exe","SUCCESS",""
"7:12:28.0893606 PM","ctfmon.exe","3980","RegQueryValue","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409\im_1\INLINEPREDICTIONMINPREDICTIONLENGTH","NAME NOT FOUND","Length: 144"
"7:12:28.0893769 PM","ctfmon.exe","3980","RegCloseKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409\im_1","SUCCESS",""
"7:12:28.0893879 PM","ctfmon.exe","3980","RegQueryKey","HKLM\SOFTWARE\Microsoft\Input\Settings","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0893960 PM","ctfmon.exe","3980","RegOpenKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409","SUCCESS","Desired Access: Query Value"
"7:12:28.0894074 PM","ctfmon.exe","3980","RegQueryValue","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409\INLINEPREDICTIONMINPREDICTIONLENGTH","NAME NOT FOUND","Length: 144"
"7:12:28.0894155 PM","ctfmon.exe","3980","RegCloseKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409","SUCCESS",""
"7:12:28.0894615 PM","ctfmon.exe","3980","RegQueryKey","HKLM\SOFTWARE\Microsoft\Input\Settings","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0894708 PM","ctfmon.exe","3980","RegOpenKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1","SUCCESS","Desired Access: Query Value"
"7:12:28.0894817 PM","ctfmon.exe","3980","RegQueryValue","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\INLINEPREDICTIONMINPREDICTIONLENGTH","NAME NOT FOUND","Length: 144"
"7:12:28.0894923 PM","ctfmon.exe","3980","RegCloseKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1","SUCCESS",""
"7:12:28.0894992 PM","ctfmon.exe","3980","RegQueryValue","HKLM\SOFTWARE\Microsoft\Input\Settings\INLINEPREDICTIONMINPREDICTIONLENGTH","NAME NOT FOUND","Length: 144"
"7:12:28.0895082 PM","ctfmon.exe","3980","RegCloseKey","HKLM\SOFTWARE\Microsoft\Input\Settings","SUCCESS",""
"7:12:28.0895441 PM","ctfmon.exe","3980","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0895526 PM","ctfmon.exe","3980","RegOpenKey","HKLM\Software\Microsoft\Input\Settings","SUCCESS","Desired Access: Read"
"7:12:28.0895646 PM","ctfmon.exe","3980","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0895713 PM","ctfmon.exe","3980","RegOpenKey","HKCU\Software\Microsoft\Input\Settings","NAME NOT FOUND","Desired Access: Read"
"7:12:28.0895823 PM","ctfmon.exe","3980","RegQueryKey","HKLM\SOFTWARE\Microsoft\Input\Settings","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0896025 PM","Procmon64.exe","1132","QueryOpen","C:\Windows\System32\apphelp.dll","FAST IO DISALLOWED",""
"7:12:28.0896092 PM","ctfmon.exe","3980","RegOpenKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409\im_1","SUCCESS","Desired Access: Query Value"
"7:12:28.0896403 PM","Procmon64.exe","1132","CreateFile","C:\Windows\System32\apphelp.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:12:28.0896477 PM","ctfmon.exe","3980","RegQueryValue","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409\im_1\PREDICTIONEDITDISTANCEWEIGHT","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"7:12:28.0896582 PM","ctfmon.exe","3980","RegCloseKey","HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409\im_1","SUCCESS",""
"7:12:28.0896632 PM","Procmon64.exe","1132","QueryBasicInformationFile","C:\Windows\System32\apphelp.dll","SUCCESS","CreationTime: 12/4/2023 4:49:00 AM, LastAccessTime: 3/9/2026 7:12:27 PM, LastWriteTime: 12/4/2023 4:49:00 AM, ChangeTime: 3/10/2026 12:49:17 AM, FileAttributes: A"
